296-08-03 | GENERACJA obciazenie | prog=- | wynik=79 | sekret z przeszlosci (list z Starego Zamku)
296-08-06 | nauka sierot liter (proba odbudowy u Owena czynem) | prog=35 (latwe 30 +5 krytyczne oko/osłabienie) | wynik=11 | PORAZKA (zwykla, nie komplikacja): zna litery, ale rozkojarzony i nienawykly do dzieci — nie utrzymuje izby, lekcja plaska; Owen nie ujety (brak odbudowy zaufania), ale i nie zrazony bardziej. Drobny jasny punkt: jedna sierota (Pella) lapie z nim litere
296-08-06 | kopia listu + skrytka (potajemnie, w sepcie pod okiem Owena) | prog=45 (typ 50, -5 wypoczety/biegly; ryzyko obserwacji) | wynik=36 | PORAZKA (zwykla): septa za bardzo zaludniona i pilnowana — brak prywatnosci na spisanie calego listu; near-miss z siostra, ktory zakrywa; ABORTUJE nietkniety (NIE wpadl). Kopii brak, list wciaz przy ciele. Nauka: septa to zle miejsce na to — trzeba prywatnej/bezpiecznej skrytki, ktorej nie ma
296-08-06 | wyznanie Owenowi CALEJ prawdy o liscie/Rymanie (obrabowana wdowa, martwy maester, falszerz=starszyzna cechu) | prog=35 (baza 70, -10 zadana prawda naprawia niedopowiedzenie, -10 mocna sprawa moralna, -15 regula +15 po 2 porazkach w tej sprawie) | wynik=57 | SUKCES (solidny): Owen poruszony, chlod topnieje, wierzy; sprawa moralna go zapala; angazuje sie — realna oslona Wiary + moze byc KANALEM do sprawiedliwosci; ostroznie, chce przeczytac/zweryfikowac; oferuje schowac list bezpiecznie. Nesta/braavijski wciaz przemilczane (vague 'kontrakty w porcie'). Owen nast 5->12, zauf 3->8
296-08-06 | sesja pracy u Nesty (wyspany) + deflekcja pytania o 'plecy' | prog=35 (latwe, rdzenny fach, wypoczety, ciepla patronka) | wynik=69 | CZYSTY SUKCES: robota czysta, bez bledow — odbudowuje jej zaufanie do jego reki; deflekcja przyjeta (kupiec szanuje trzymanie kart); zaplata skapa ~20 mied. Nesta zauf 11->12
296-08-06 | ukradkowy powrot z kantoru do septy | prog=30 (latwe, zmierzch, ostrozny) | wynik=17 | PORAZKA (zwykla): dociera bezpiecznie, ALE ktos przy wylocie zaulka obserwuje, jak idzie z portu ku gornemu miastu; niepewny, kto i czy to grozne — SEED erozji tajemnicy refugium/straddle. Bez natychmiastowego springu
296-08-07 | Dzien Matki: publiczne nabozenstwo pod okiem Owena (test poboznosci/przynaleznosci) | prog=45 (typ 50, -10 Owen sprzyja/wystarczy byc obecnym-poboznym; +ryzyko nieznajomosci obrzadku i pelnej septy) | wynik=76 | CZYSTY SUKCES: maesterskie wychowanie dalo mu dosc form; modli sie z ludem przekonujaco, Owen usatysfakcjonowany — warunek spelniony, sojusz Wiary umocniony, uchodzi za 'swojego'. Bez zlej ekspozycji (wtopil sie w tlum). Owen nast 13->15, zauf 9->10; wiara-rep ->11
296-08-08 | zwiad Brana o wiekszym domu (jawnie rekrutuje) | prog=35 (latwe, otwarta rekrutacja, siec Wendy) | wynik=83 | CZYSTY SUKCES: dom Antaryon (braavijski, flota galer), faktor Ternesio, swiezo bez czytacza, placi dobrze i stale — realny silny patron. PLUS plotka: Nesta podobno winna srebro 'wiekszym braavijskim ludziom' (moze temu domowi). Wyzsza widocznosc = gorszy straddle
296-08-08 | robota u Nesty + sondowanie dlugu | prog=55 (trudne 70, -10 zaufanie/mowa, -5 naturalna zaslona galery) | wynik=70 | SUKCES: potwierdza, ze Nesta winna braavijskim wierzycielom = KRAG ANTARYONOW; jej wylacznosc = obrona atutu przed wierzycielem. Nesta czesciowo sama to wyznaje, by go zwiazac + ostrzega przed Antaryonami + podnosi oferte (retainer/poreczenie), by go zatrzymac. Robota dobrze platna (gold-rush leverage) ~40 mied. Nesta nast 16->17, zauf 12->13
296-08-09 | proaktywne wyznanie Nescie oferty Antaryonow + deklaracja wiernosci (bez zadania) | prog=30 (bardzo sprzyjajace: -10 proaktywna szczerosc=dowod lojalnosci, -10 ciepla relacja) | wynik=78 | CZYSTY SUKCES: Nesta poruszona i uspokojona — wybral ja nad lepsze srebro i powiedzial prosto; przestaje go pilnowac, pakt staje sie prawdziwym sojuszem; ale czyta poaching Antaryonow jako nacisk wierzyciela na SIEBIE (niepokoj o jej pozycje). Nesta nast 18->20, zauf 15->17
296-08-09 | manifesty + AUDYT dlugu Nesty wobec Antaryonow (najedzony, wypoczety) | prog=65 (trudne, profesjonalny kontrakt + slabe prawo; -5 skupiony/instynkt audytora) | wynik=88 | CZYSTY SUKCES: wykrywa, ze Antaryonowie ZAWYZALI dlug — kumuluja odsetki agresywniej niz stanowi pierwotna umowa + dopisane oplaty; realny dlug MNIEJSZY niz roszczony, a oni sami w naduzyciu = DZWIGNIA dla Nesty. Pewny arytmetyki; egzekwowalnosc prawna poza jego 'prawem' (potrzebny nastepny krok). Nesta nast 20->22, zauf 17->19; bonus. Manifesty: grosz
296-08-09 | ukradkowy powrot do septy (imie glosne, wzor sie powtarza) | prog=40 | wynik=36 | PORAZKA (bliska): dociera bezpiecznie, ale cech skojarzyl IMIE z dzielnica septy — dzis ktos pytal U DRZWI SEPTY o 'Symona skrybe'; siostra Lyra zagrala glupia (Wiara oslania). Refugium przestaje byc tajne; bezpieczenstwo Symona wisi teraz na oslonie Wiary. Noose ciaśniej, bez springu
296-08-09 | wyznanie Owenowi o braavijskim/pracy dla Nesty (rama: talent+usluga, uczciwy zarobek) | prog=35 (typ 50, -15 prawda na zadanie/ceni szczerosc, -5 rozsadna rama; tresc-herezja podbija) | wynik=34 | PORAZKA (o wlos): szczerosc rejestruje sie (brak zerwania, tarcza TRZYMA — Owen oslania przed cechem z zasady), ALE tresc go martwi (charge sluzy kupcowi Wielu Twarzy = mamona/herezja); rozczarowany, chlodnie o oczko, stawia GRANICE (ten swiat off the threshold) i stawia wprost pytanie 'ktoremu panu sluzysz'. Owen nast 16->13, zauf 11->10; wiara-rep 13->11
296-08-10 | zdarzenie ranka | prog=- | wynik=88 | Owen (zmiekczony kopiowaniem+szczeroscia) sam przychodzi rano: oferuje AKTYWNA oslone i protest Wiary przeciw nekaniu Harwina (lever #2); doradza ostroznie ws. placenia cechowi (Ryman moze go wysadzic). Owen nast 14->16, zauf 10->11
296-08-10 | prosba do Owena o wprowadzenie do maestra Theomore (rama: Ryman) | prog=50 (typ 50, -10 sojusznik/wspolna sprawa, +10 Owen niegotow + ukryty motyw) | wynik=52 | SUKCES Z KOSZTEM: Owen zgadza sie zaaranzowac spotkanie z Theomore, ale RYMAN-framed i pod swoim okiem/kontrola; ostrzega, by wyczuc maestra i malo zdradzac, walk jesli lezy ku pogrzebaniu dla lorda. Dostep do Theomore ZDOBYTY, ale aplikacja do dlugu Antaryonow trudniejsza (Owen obecny/Ryman-frame). Spotkanie za dzien-dwa
296-08-12 | zdarzenie ranka (droga na audiencje) | prog=- | wynik=26 | KOMPLIKACJA: na Nowym Zamku Symon PIERWSZY RAZ WIDZI Rymana Cwiakela z twarzy — Owen go cicho identyfikuje. Ryman bywa u ludzi lorda; walidacja 'fox in henhouse'. Bez konfrontacji (Ryman nie zna Symona). Symon zna teraz twarz wroga; asymetria trwa
296-08-12 | prezentacja sprawy Rymana Theomore'owi (fakty, sucho, przyczynowo) | prog=45 (trudne 70, -10 idealny rejestr, -10 prep, -5 Owen) | wynik=33 | PORAZKA (zwykla): Symon przedstawil bez zarzutu (Theomore docenil klarownosc), ALE maester ODMAWIA dzialania — to tylko KOPIA (dla tak ciezkiego oskarzenia trzeba oryginalu/korroboracji: rejestr krucznika, zeznanie wdowy), a rzecz tyczy szanowanego czlowieka u lorda; establishment-caution wygrywa. Bez wrogosci/ekspozycji (nie fumble). Kanal Theomore NIE otwarty; sprawa Rymana potrzebuje ORYGINALU/korroboracji. Theomore nast ->2 (szacunek dla klarownosci)
296-08-12 | ponowna propozycja Garthowi (czytanie braavijskich manifestow dla cla) | prog=40 (typ 50, -10 oslona Wiary znosi glowny lek Gartha + cło tonie w papierach; reszta ostroznosci) | wynik=42 | SUKCES Z KOSZTEM: Garth bierze go, ale OFF-BOOKS/po cichu (nie moze oficjalnie zatrudnic obcego dla cla lorda), ostroznie (cech, kasztelan), na probe; brak oficjalnego standingu; okno na antaryonski customs-fraud NIE od reki (najpierw ogolne manifesty, dostep do wrazliwych z czasem/zaufaniem). Garth nast 3->5, zauf 4->5
296-08-13 | zdarzenie ranka (kilka zegarow) | prog=- | wynik=93 | Owen: PRZELOM w channel-search (owen_szuka_kanalu odpala dobrze) — znalazl zaufany KONDUIT: brat Ansell, septon jadacy na polnoc za kilka dni, zawiezie dyskretna inquiry do maestra pod Starym Zamkiem (rejestr krucznika/oryginal/wdowa) i wybada droge ku Winterfell. TAKZE: choroba_pate + wakat_u_pisarza odpalaja — stary Pate w kryzysie (umiera/lezy), portowy wakat cechowego skryby otwarty (tlo)
296-08-13 | pierwszy handel: kupno soli (spekulacja na zime) | prog=45 (nowicjusz handel 1, ale mentorka+info-edge; sol bezpieczna; mala stawka) | wynik=35 | PORAZKA (zwykla): odczyt manifestu OK, ale jako nowicjusz przeplacil i wzial so-so sol (sprzedawca go rozczytal) — pozycja mierna; przy sprzedazy na zime raczej break-even/mala strata. Lekcja: czytac PAPIER to nie to samo co czytac LUDZI (jego slaba strona: spryt/retoryka/handel). Mala strata (~kilka-kilkanascie mied). Handel rośnie (nauka z porazki)
296-08-15 | zdarzenie ranka | prog=- | wynik=94 | Kupiec VOX (miejscowy sukiennik) szuka Symona — slyszal (reputacja skryby-ludu + slowo Nesty), ze to uczciwy skryba, co wypatruje falsz w papierach; podejrzewa, ze wspolnik/dostawca go oszukuje, chce audytu. Dobrze platne, jego NISZA (audyt/weryfikacja), respektowany klient — awans sciezki kupieckiej. NIE braavijskie (nie lamie wylacznosci Nesty), uczciwe, kompatybilne
296-08-15 | audyt papierow Voxa (najedzony, wypoczety) | prog=40 (twoj zywiol/wprawa, dobra kondycja; domowa spolka) | wynik=96 | WYBITNY SUKCES: wykrywa dokladnie, jak wspolnik Rennard strzyze Voxa — przeplacone (zawyzone) koszty dostaw + zanizone sprzedaze, roznica do kieszeni Rennarda; z dowodem (kwity vs ksiegi) i szacunkiem sumy za rok. Vox wdzieczny/pod wrazeniem, zaplaci hojnie mimo promo, bedzie polecal. Reputacja audytora rosnie wsrod miejscowych kupcow. Forward: Rennard=nowy (maly) wrog; Vox moze chciec wiecej pomocy (spor/dzien Ojca)
296-08-16 | zdarzenie ranka | prog=- | wynik=97 | Garth (zaufanie zbudowane + slyszal o audycie Voxa) wzywa Symona i powierza mu WIEKSZE, wrazliwe manifesty — w tym papiery WIELKICH DOMOW, m.in. ANTARYONOW. Okno na antaryonski customs-fraud OTWIERA sie (leverage dla Nesty). Wrazliwe/niebezpieczne (fraud wielkiego domu). Advances anty-Antaryon + noga cla
296-08-17 | zdarzenie ranka | prog=- | wynik=10 | CECH REAGUJE na rosnaca praktyke audytu Symona (po Voxie, gadka na Schodach): Mennard nie moze go tknac fizycznie (tarcza Wiary), wiec uderza w REPUTACJE/prace — rozglasza wsrod kupcow/rady, ze Symon to nielicencjonowany PARTACZ, ktorego 'audyty' bezwartosciowe/oszukancze, i odradza korzystanie z niego. Smear, by zdusic flywheel. Tarcza Wiary nie chroni reputacji kupieckiej. Ostrzega go Vox. Sharpens licence question
296-08-17 | praca: przejrzec lawine braavijskich manifestow dla Nesty (najedzony, po cofnieciu) | prog 35 (typ50 -10 kluczowa kompetencja -5 najedzony/tempo) | rzut 79 | SUKCES MOCNY — pilny gros przerobiony czysto i szybko; wypatrzyl antaryonski manifest z zanizona do cla wartoscia ladunku (nowy, konkretny trop oszustwa celnego); staly uklad na doczyszczenie reszty; Nesta nast 24->26 zauf 18->19
296-08-18 | Garth: przedstawic antaryonski manifest (zanizone clo) jako trop celny | prog 35 (typ50 -15 solidny dokumentalny trop, weryfikowalny na jego cedulach) | rzut 25 | PORAZKA — Garth widzi nie wygrana, lecz petle: wielki dom, jego kark; przestraszony, nie tknie
296-08-18 | Garth: konwersja tropu na poreczenie/plecy | prog 55 (hard70 -10 przysluga -5 relacja8/7) | rzut 54 | PORAZKA o wlos — zawahal sie, ostroznosc (strach o Antaryonow) wygrala; brak poreczenia; Garth nast 8->7 zauf 7->6
FLAGA: dwie porazki w sprawie Garth/poreczenie -> nastepny rzut w tej sprawie +15
296-08-18 | praca: wspolna sesja nad lawina manifestow u Nesty | prog 35 (typ50 -10 kompetencja -5 wspolnie/tempo) | rzut 1 | PORAZKA (natural 1) — sesja NIE dochodzi: pierwsza jesienna burza (pogoda98) uderza w port; Nesta w kryzysie nad wystawionym ladunkiem, popoludnie porywa zywiol. Nie dobijanie — redirect/szansa sie pomoc
296-08-18 | organizacja ratunku towaru Nesty w burzy (glowa, nie sila) | prog 55 (hard70 -10 triaz-po-wartosci=atut -5 autorytet Nesty) | rzut 64 | SUKCES — uratowal gros/wartosciowy rdzen ladunku, drobne straty; komenda przez autorytet Nesty; WIDZIANE na nabrzezu (pozytywna plotka, kontra na smear). Nesta 26->30/19->22; zmeczenie 9->16, zdrowie 75->73
296-08-19 | odczyt rynku soli po burzy | prog 50 (typ50; slaby handel vs volatile rynek, offset numeracja+mentoring) | rzut 90 | SUKCES MOCNY — trafny + niuans: sol windowana (scisk+sezon), ale jego so-so towar lepiej SPRZEDAC TERAZ w panice (jakosc wybaczona) niz trzymac do zimy (wroci lepsza sol); stock suchy u Nesty. AWANS handel 1->2
296-08-19 | sprzedaz soli (so-so parcela) w sciecu po burzy PRZEZ Neste | prog 30 (typ50 -10 timing -10 kanal/autorytet Nesty; rynek sprzedawcy) | rzut 84 | SUKCES MOCNY — firm cena ~58 mied, +18 na czysto; PIERWSZY zyskowny handel; Nesta wybroila, fee odpuscila (czesne). pozycja_sol ZAMKNIETA
296-08-19 | pitch rozszerzonej wizji wspolnictwa (dual-track handel+audyt + prawnik) do Nesty | prog 30 (typ50 -10 wlasna jej filozofia odbita -10 juz chce wspolnika/relacja) | rzut 22 | PORAZKA o wlos — wspolnictwo PRZYJETE (nie gated), ale ROZMACH osadzony: jedno nim dwa; audyty=widocznosc=cel; prawnik przedwczesny; to nie Braavos. Mandat: wasko/wolno. Nesta lekko zaniepokojona, ze rwie za szybko
296-08-20 | rozglad po izbie celnej przed rozliczeniem (spryt 4, intel) | prog 50 | rzut 26 | PORAZKA lagodna — brak uzytecznego intelu (izba to chaos, nie tekst); drobne tarcie z wlasna przykrywka: ciekawskie spojrzenia najetego skryby lekko nie na miejscu, Nesta subtelnie koryguje. Bez szkody, przypomnienie: badz nudny
296-08-20 | rozliczenie z faktorem Ternesio: cichy lewar na sciecie zawyzenia (Nesta prowadzi, Symon w cieniu) | prog 45 (hard70 -15 prep -10 twardy dowod/skromny cel) | rzut 29 | PORAZKA — Ternesio obstal przy zawyzeniu, off-ramp odrzucony; Nesta zaplacila napompowana rate (~+1 smok), NIE spalila karty cla (zachowana), Symon nieujawniony (cover trzymal). Overcharge stoi sezon; lewar zyje. LEKCJA: racja != przewaga wobec trzymajacego papier
296-08-21 | sluzba piorem ubogim na Dzien Matki — efekt na smear/Schody | prog 40 (typ50 -10 dom Wiary/znak Owena/szczera cnota) | rzut 86 | SUKCES MOCNY — poboznosc rozbija smear na Schodach (kontr-narracja); rep Schody 4->6, Wiara 14->16; Owen 19->21/14. Legitymacja przez cnote, bez komercyjnej widocznosci
296-08-22 | weryfikacja hipotezy solona-zywnosc w braavijskich manifestach | prog 35 (typ50 -10 kluczowa kompetencja -5 focus/hipoteza) | rzut 70 | SUKCES MOCNY — potwierdzona: luka podazowa (malo soli i solonych prowiantow w drodze; brak wielkiej dostawy grozacej odsprzedazy); KONKRET: partia solonej ryby/sloniny wciaz po starej cenie (sprzedawca nie przecenil) = okno kupna. AWANS rachunki 5->6
296-08-22 | ogledziny: ocena jakosci solonych prowiantow | prog 45 (typ50 -5 czujny po soli) | rzut 8 | PORAZKA dotkliwa — brak oka do prowiantow, sam nie oceni jakosci
296-08-22 | ogledziny: wyczucie sprzedawcy | prog 55 (slabosc-ludzie, offset nauka Nesty) | rzut 58 | SUKCES — czyta go: za gorliwy, wymijajacy co do daty solenia, pcha sprzedaz = tell, ze towar podejrzany (so-so/psujacy sie, opychany na hype soli). Odczyt czlowieka RATUJE tam, gdzie slepota na towar by zatopila = odwrocenie bledu soli
296-08-22 | wieczorny przeglad manifestow — trop na nieperzyszna luke | prog 35 (typ50 -10 kompetencja -5 focus) | rzut 68 | SUKCES MOCNY — LOJ/WOSK (swiatlo na zime): skapa podaz (burza) + rosnacy popyt (dlugie noce, zimowe swieta Wiary, septy kupuja swiece hurtem); nieperzyszne, jakosc prosta, brak grozacej wielkiej dostawy. Trop do egzekucji jutro
296-08-23 | targ o cene loju u Corana (uczciwy lojarz) | prog 40 (handel2 slabosc; -10 polecenie Wendy -10 dzwignia obfitosci) | rzut 26 | PORAZKA — Coran uprzejmy ale twardy, nie zszedl; slaby targ nie wycisnal rabatu; cena FAIR nie okazyjna. Loj dobry (uczciwy). Marza cienka, teza trzyma. Lekcja: uczciwy nie daje okazji. handel+1 spryt+1
296-08-24 | sesja pracy w kantorze (manifesty, staly uklad) | prog 35 (kluczowa kompetencja) | rzut 57 | SUKCES — solidna, czysta robota; lawina niemal doczyszczona; zarabia draw, kompetencja rosnie; drobne obserwacje rynkowe na przyszlosc, bez wielkiego trafienia
296-08-26 | spotkanie z Leona (przez Voxa) — wrazenie/odczyt/nawigacja wylacznosci | prog 40 (hard60 -10 prep -10 poreka Voxa+dobre nastawienie) | rzut 58 | SUKCES — dobre wrazenie; UCZCIWIE oslonil wylacznosc braavijskiego (integralnosc zaimponowala), wzial ogolna robote (ksiegi po mezu/kontrakty), zaproponowal most braavijski przez faktorie. Nowy klient/sojusznik Schody; rep Schody 6->8
296-08-26 | rozpoznanie dostawcow Leony (papiery + wiedza Nesty + Vox) | prog 40 (typ50 -10 nazwiska w papierach + Nesta zna swiatek) | rzut 78 | SUKCES MOCNY — 2-3 male NIEZALEZNE braavijskie faktorie sukna, BEZ poteznego patrona = bezpieczne; mechanizm skracania rozpoznany (gatunek/miara/cena); OKAZJA: skracaja tez innych sukiennikow -> nisza weryfikacji + broker Leona->Nesta kanal
296-08-26 | pelna weryfikacja papierow Leony | prog 35 (typ50 -10 kompetencja -5 zna mechanizm) | rzut 32 | PORAZKA o wlos — skracanie POTWIERDZONE (realne), ale ksiegi Leony po mezu NIEKOMPLETNE (luki: brak braavijskich papierow dla czesci dostaw, okresy bez kwitu) -> sprawa silna ale nie airtight; nie z braku umiejetnosci lecz z bralakow w JEJ dokumentacji. Trzeba domknac (wiecej papierow meza / oryginaly dostawcow / isc z czesciowa)
296-08-26 | przeszukanie papierow meza Leony (domkniecie luk) | prog 40 (typ50 -10 wiesz czego szukac) | rzut 4 | PORAZKA dotkliwa — maz braavijskich manifestow NIE trzymal / zbutwialy; luk NIE domknac od strony Leony, droga wyczerpana
FLAGA: dwie porazki z rzedu w sprawie Leona-weryfikacja (32,4) -> nastepny rzut w tej sprawie +15
296-08-26 | zestawienie sladow oszustwa u innych sukiennikow (obejscie luk Leony) | prog 20 (typ50 -10 kompetencja -5 metoda -15 dwie porazki) | rzut 73 | SUKCES MOCNY — systematyczny wzor dostawcow odtworzyl CALOSC takze dla luk Leony; odkryte wielo-ofiarowe oszustwo; sprawa solidna; opportunity (kolektyw/nisza/standing rep Schody 8->10) + tension widocznosci. +15 zuzyte
296-08-27 | kolektyw-lewar wobec braavijskich dostawcow (Leona front, faktoria silnik) | prog 30 (typ50 -10 zelazny dowod -10 mocna pozycja+off-ramp) | rzut 30 | SUKCES marginalny — dostawcy grudging fold: restytucja udokumentowanego + uczciwe warunki; Leona/kupcy odzyskali solidny kawal; nisza weryfikacji udowodniona (rep Schody ->11); dostawcy = drobni wrogowie; Symon ~5 jeleni dochodu, niskoprofilowo
296-08-27 | odczyt statusu pozycji loju (rynek+manifesty, z soczewka) | prog 35 (typ50 -10 kompetencja -5 narzedzie) | rzut 4 | PORAZKA — mglisty odczyt: za wczesnie na jasne okno; faint NIEPOTWIERDZONY sygnal, ze inni tez moga trzymac zapas loju (mozliwe oslabienie przewagi w szczycie). Pozycja cala, teza nieobalona, zasiane watpliwosci; domknac pozniej / spytac Neste/Wende
296-08-29 | vetting dostawcow Aldousa (papiery+Nesta+uszy Brana) | prog 40 | rzut 74 | SUKCES MOCNY — barwniki = male niezalezne (bezpieczne); glowny dostawca WINA = afiliowany z ANTARYONAMI (wielki dom, wierzyciel Nesty). Strona winna = brush z Antaryonami z slabej pozycji => zrobic bezpieczna czesc barwnikowa, wino hands-off/odmowic, antaryon-intel zabankowac na przyszla dzwignie
296-08-29 | weryfikacja barwnikow Aldousa + odroczenie wina ('jeszcze musze zweryfikowac') | prog 35 (typ50 -10 kompetencja -5 soczewka) | rzut 18 | PORAZKA na stronie LUDZKIEJ — barwniki czysto-ish (malo do pokazania), wino odroczone niezgrabnie: Aldous lukewarm/niecierpliwy/podejrzliwy; flat fee zaplacone (+3 jelenie, struktura ocalila); KOSZT: pending zobowiazanie na wino = haczyk ku Antaryonom (odroczyl, nie uciekl)
296-09-01 | odczyt rynku loju pod wczesne wyjscie (soczewka) | prog 35 (typ50 -10 kompetencja -5 narzedzie/cel) | rzut 89 | SUKCES MOCNY — mroz+swieta Wiary winduja popyt szybko, ceny w mocnym trendzie w gore; OKNO wczesnego wyjscia otwiera sie (sprzedac w ciagu kilku dni, zanim swiecarze zaleja szczyt); plan split Wiara-fair + rynek-rosnaco; gotowy do sprzedazy
296-09-01 | sprzedaz loju (wczesne wyjscie, split Wiara-fair + rynek-szczyt, kanaly Nesty) | prog 30 (typ50 -10 timing/rosnacy rynek -10 kanaly) | rzut 75 | SUKCES MOCNY — total ~740 mied (koszt 500), zysk ~240; Symon 1/3 ~80 mied; wiara->19 (loj sepcie po fair). PIERWSZY PELNY ZYSKOWNY CYKL -> handel 2->3, petla udowodniona, Nesta obiecuje wieksza linie
296-09-01 | wywiad sieciowy (Wenda+Bran) na nastepna luke | prog 40 | rzut 99 | SUKCES OGROMNY — trop: niedobor ZBOZA sie zawiaza (dostawy spoznione sztormami, kupcy nerwowi, ceny drgaja, wczesne gromadzenie); slyszy WCZESNIE=asymetryczny edge, lukratywne pod wieksza linie. MORALNY WIDELEC: spekulacja na glodzie biedoty vs jego toz. charytatywna
296-09-02 | potwierdzenie niedoboru zboza (manifesty+Bran+Wenda+soczewka) | prog 40 | rzut 11 | PORAZKA — sytuacja mglista: statki spoznione ale fate niejasny (spoznione vs stracone), wielcy zbozowi milcza (dwuznacznosc im sprzyja), ceny nieostre; NIE da sie green-lightowac cargo na 'moze'. Gra on hold. ALE event 84: Bran podsunal zrodlo — przybila zaloga z poludnia (znad Bite/Gulltown) wie stan szlakow = droga do pewnosci
